Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,Outbound Links
plumber,pimlico plumbers,18100,2.16,https://www.express.co.uk/finance/city/973751/Pimlico-Plumbers-legal-case-supreme-court-employment-temporary-work,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,pimlico plumbers,18100,2.16,https://www.independent.co.uk/news/business/analysis-and-features/view-from-the-top-pimlico-plumbers-charlie-mullins-supreme-court-case-self-employed-a8401026.html,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,pimlico plumbers,18100,2.16,https://www.independent.co.uk/topic/pimlico-plumbers,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.grahamplumbersmerchant.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.plumbase.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.cityplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.duftons.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.plumbcall.com/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.jtmplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.jhplumb.com/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.plumbingworld.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.kenknightplumbing-liverpool.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.plumcoltd.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.wolseley.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://www.amsplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://plumbits.net/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://buttles.com/plumbing-heating/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants,18100,1.34,https://fraserellis.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.grahamplumbersmerchant.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.grahamplumbersmerchant.co.uk/branch-locator/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.cityplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.cityplumbing.co.uk/pts,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.plumbase.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.jhplumb.com/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.plumbworld.co.uk/plumbing-supplies-5-0000,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,http://totalplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.exps.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,http://www.duftons.co.uk/?,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.plumbnation.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.wolseley.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.travisperkinsplc.co.uk/our-businesses/businesses/city-plumbing-supplies.aspx,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,https://www.bellplumbing.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
plumber,plumbers merchants near me,14800,2.27,http://www.sxheating.co.uk/,"{OutboundLink1,OutboundLink2,OutboundLink3,OutboundLink4,OutboundLink5}"
